Name,Emotion
BTS (방탄소년단) '작은 것들을 위한 시 (Boy With Luv) (feat. Halsey)' Official MV.wav,1
Conan Gray - Maniac (Official Video).wav,1
TONES AND I - DANCE MONKEY (OFFICIAL VIDEO).wav,1
Anne-Marie - 2002 [Official Video].wav,1
BTS (방탄소년단) '봄날 (Spring Day)' Official MV.wav,1
창모 (CHANGMO) - METEOR [Official Music Video].wav,1
박진영 (J.Y. Park) 'When We Disco (Duet with 선미)' M_V.wav,1
[MV] Brave Girls(브레이브걸스) _ We Ride(운전만해).wav,1
Dua Lipa - Don't Start Now (Official Music Video).wav,1
【임창정 M_V】 16집 '소확행' Official _ IM CHANG JUNG _ 16th ALBUM _ K-pop Artist _ Music Video.wav,1
BLACKPINK - 'How You Like That' M_V.wav,1
[MV] Hwa Sa(화사) _ Maria(마리아).wav,1
[MV] 마마무 (MAMAMOO) - 딩가딩가 (Dingga).wav,1
BTS (방탄소년단) 'Savage Love' (Laxed – Siren Beat) [BTS Remix] Lyric Video.wav,1
[ENG] [SMTM9] 'VVS' (Feat. JUSTHIS) (Prod. GroovyRoom) MV - 머쉬베놈  미란이  쿤디판다  먼치맨 EP.6 201120.wav,1
BLACKPINK – ‘Lovesick Girls’ M_V.wav,1
TWICE 'I CAN'T STOP ME' M_V.wav,1
[ENG] SMTM9 [8회_풀버전] '내일이 오면' (Feat. 기리보이  BIG Naughty(서동현)) - 릴보이 @본선 full ver. EP.8 201204.wav,1
BTS (방탄소년단) 'Life Goes On' Official MV.wav,1
IZ_ONE (아이즈원) 'Panorama' MV.wav,1
HyunA - 'I'm Not Cool' MV .wav,1
[MV] IU(아이유) _ Celebrity.wav,1
[MV] OH MY GIRL(오마이걸) _ Nonstop(살짝 설렜어).wav,1
[MV] IU(아이유) _ eight(에잇) (Prod.&Feat. SUGA of BTS).wav,1
오마이걸(OH MY GIRL)_Dolphin - Special Clip @따따따따🌀 물보라를 일으켜〰🐬💦.wav,1
Cardi B - Up [Official Music Video].wav,1
SHINee 샤이니 'Don't Call Me' MV.wav,1
선미(SUNMI) - 꼬리(TAIL) MUSIC VIDEO.wav,1
Bruno Mars  Anderson .Paak  Silk Sonic - Leave the Door Open [Official Video].wav,1
Drake - What’s Next.wav,1
[MV] 브레이브걸스 (Brave Girls) - 롤린 (Rollin') (Clean ver.).wav,1
[Teaser] IU(아이유)_Flu.wav,1
ROSÉ - 'On The Ground' M_V.wav,1
Jessi (제시) - '어떤X (What Type of X)' MV.wav,1
MELODY.wav,1
Ah puh (어푸 (Ah puh)).wav,1
Mike Shinoda - Happy Endings (feat. iann dior & UPSAHL) [Official Music Video].wav,1
[MV] IU(아이유)_LILAC(라일락).wav,1
[MV] IU(아이유)_Coin.wav,1
Troll (Feat. DEAN) (돌림노래 (Feat. DEAN)).wav,1
Justin Bieber - Peaches ft. Daniel Caesar  Giveon (1).wav,1
Justin Bieber - Peaches ft. Daniel Caesar  Giveon.wav,1
Polo G - RAPSTAR (Official Video).wav,1
CJ - Lil Freak (feat. Dream Doll) Official Video.wav,1
[MV] 휘인 (Whee In) - water color.wav,1
IDK  Offset - SHOOT MY SHOT (Official Music Video).wav,1
[MV] IU(아이유) _ Blueming(블루밍).wav,1
BTS (방탄소년단) 'Dynamite' Official MV.wav,1
Giveon - Heartbreak Anniversary (Official Music Video).wav,1
Chris Brown  Young Thug - Go Crazy (Official Video).wav,1
Teddy Swims - Bed On Fire (Official Music VIdeo).wav,1
Anitta - Girl From Rio (Official Music Video).wav,1
NLE Choppa - Final Warning (Official Video).wav,1
